Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF/275VAC","C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3",30.500000,15.500000,0.000000,top
"C2","1nF/400VAC","C_Disc_D7.5mm_W5.0mm_P7.50mm",14.650000,26.600000,0.000000,top
"C3","1nF/400VAC","C_Disc_D7.5mm_W5.0mm_P7.50mm",51.500000,13.450000,90.000000,top
"C4","1uF/50V","C_Disc_D5.1mm_W3.2mm_P5.00mm",51.700000,40.400000,-90.000000,top
"C5","68uF/50V","CP_Radial_D8.0mm_P3.50mm",45.500000,38.852651,-90.000000,top
"CONN1","VAC","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",32.900000,2.495000,0.000000,top
"CONN2","VOUT","PinSocket_2x02_P2.54mm_Vertical",43.000000,51.900000,90.000000,top
"F1","0031.8201","Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open",27.950000,1.600000,180.000000,top
"L1","330uH/2A","L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads",15.100000,9.400000,180.000000,top
"L2","FL2D-Z5-103","FL2D-Z5-103",30.580000,27.175000,0.000000,top
"PS1","IRM-03-24","Converter_ACDC_MeanWell_IRM-03-xx_THT",7.150000,33.150000,90.000000,top
"R1","33R/3W","R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical",0.400000,36.390000,-90.000000,top
"RV1","S14K350","RV_Disc_D15.5mm_W3.9mm_P7.5mm",34.250000,11.200000,0.000000,top
"TVS1","1.5KE7.5CA","D_DO-201_P5.08mm_Vertical_KathodeUp",42.805000,44.400000,0.000000,top
